experiment,response_id,participant_hashed_id,child_hashed_id,date_created,completed,is_preview,child_age_rounded,child_gender,condition,phase,scenario,scenario_object,video,question_type,response,rt_ms
exp1,426101,RdSNSP,PJP5Qd,2026-04-15,True,False,2010,f,4,warmup,warmup,warmup,warmup_part1_bird_question,warmup,bird,54935
exp1,426101,RdSNSP,PJP5Qd,2026-04-15,True,False,2010,f,4,warmup,warmup,warmup,warmup_part1_fish_question,warmup,fish,24123
exp1,426101,RdSNSP,PJP5Qd,2026-04-15,True,False,2010,f,4,test,scenario_1,balloon,balloon_pop_caused,pop_caused,proximal,8494
exp1,426101,RdSNSP,PJP5Qd,2026-04-15,True,False,2010,f,4,test,scenario_1,balloon,balloon_pop_lexical,pop_lexical,distal,7288
exp1,426101,RdSNSP,PJP5Qd,2026-04-15,True,False,2010,f,4,test,scenario_1,balloon,balloon_sad_caused,sad_caused,distal,8951
exp1,426101,RdSNSP,PJP5Qd,2026-04-15,True,False,2010,f,4,test,scenario_1,balloon,balloon_sad_lexical,sad_lexical,distal,6671
exp1,426101,RdSNSP,PJP5Qd,2026-04-15,True,False,2010,f,4,test,scenario_2,drum,drum_break_caused,break_caused,distal,7847
exp1,426101,RdSNSP,PJP5Qd,2026-04-15,True,False,2010,f,4,test,scenario_2,drum,drum_break_lexical,break_lexical,proximal,5799
exp1,426101,RdSNSP,PJP5Qd,2026-04-15,True,False,2010,f,4,test,scenario_2,drum,drum_angry_caused,angry_caused,distal,7420
exp1,426101,RdSNSP,PJP5Qd,2026-04-15,True,False,2010,f,4,test,scenario_2,drum,drum_angry_lexical,angry_lexical,proximal,6581
exp1,426137,F2563K,3AEHEN,2026-04-16,False,False,2520,f,3,warmup,warmup,warmup,warmup_part1_bird_question,warmup,bird,53941
exp1,426137,F2563K,3AEHEN,2026-04-16,False,False,2520,f,3,warmup,warmup,warmup,warmup_part1_fish_question,warmup,fish,22657
exp1,426137,F2563K,3AEHEN,2026-04-16,False,False,2520,f,3,test,scenario_1,drum,drum_angry_lexical,angry_lexical,proximal,8296
exp1,426137,F2563K,3AEHEN,2026-04-16,False,False,2520,f,3,test,scenario_1,drum,drum_angry_caused,angry_caused,distal,7195
exp1,426137,F2563K,3AEHEN,2026-04-16,False,False,2520,f,3,test,scenario_1,drum,drum_break_lexical,break_lexical,proximal,6444
exp1,426137,F2563K,3AEHEN,2026-04-16,False,False,2520,f,3,test,scenario_1,drum,drum_break_caused,break_caused,distal,7111
exp1,426137,F2563K,3AEHEN,2026-04-16,False,False,2520,f,3,test,scenario_2,balloon,balloon_sad_lexical,sad_lexical,proximal,7644
exp1,426137,F2563K,3AEHEN,2026-04-16,False,False,2520,f,3,test,scenario_2,balloon,balloon_sad_caused,sad_caused,distal,7562
exp1,426137,F2563K,3AEHEN,2026-04-16,False,False,2520,f,3,test,scenario_2,balloon,balloon_pop_lexical,pop_lexical,proximal,6028
exp1,426137,F2563K,3AEHEN,2026-04-16,False,False,2520,f,3,test,scenario_2,balloon,balloon_pop_caused,pop_caused,distal,6926
exp1,426140,GTSVFP,Y33GUJ,2026-04-16,True,False,2010,f,2,warmup,warmup,warmup,warmup_part1_bird_question,warmup,bird,53449
exp1,426140,GTSVFP,Y33GUJ,2026-04-16,True,False,2010,f,2,warmup,warmup,warmup,warmup_part1_fish_question,warmup,fish,23123
exp1,426140,GTSVFP,Y33GUJ,2026-04-16,True,False,2010,f,2,test,scenario_1,drum,drum_break_lexical,break_lexical,proximal,6217
exp1,426140,GTSVFP,Y33GUJ,2026-04-16,True,False,2010,f,2,test,scenario_1,drum,drum_break_caused,break_caused,distal,6613
exp1,426140,GTSVFP,Y33GUJ,2026-04-16,True,False,2010,f,2,test,scenario_1,drum,drum_angry_lexical,angry_lexical,distal,33070
exp1,426140,GTSVFP,Y33GUJ,2026-04-16,True,False,2010,f,2,test,scenario_1,drum,drum_angry_caused,angry_caused,distal,6607
exp1,426140,GTSVFP,Y33GUJ,2026-04-16,True,False,2010,f,2,test,scenario_2,balloon,balloon_pop_lexical,pop_lexical,distal,5922
exp1,426140,GTSVFP,Y33GUJ,2026-04-16,True,False,2010,f,2,test,scenario_2,balloon,balloon_pop_caused,pop_caused,distal,7903
exp1,426140,GTSVFP,Y33GUJ,2026-04-16,True,False,2010,f,2,test,scenario_2,balloon,balloon_sad_lexical,sad_lexical,proximal,8556
exp1,426140,GTSVFP,Y33GUJ,2026-04-16,True,False,2010,f,2,test,scenario_2,balloon,balloon_sad_caused,sad_caused,proximal,10380
exp1,426159,KMZFNd,SK2LKd,2026-04-16,True,False,1860,f,4,warmup,warmup,warmup,warmup_part1_bird_question,warmup,bird,54450
exp1,426159,KMZFNd,SK2LKd,2026-04-16,True,False,1860,f,4,warmup,warmup,warmup,warmup_part1_fish_question,warmup,fish,23899
exp1,426159,KMZFNd,SK2LKd,2026-04-16,True,False,1860,f,4,test,scenario_1,balloon,balloon_pop_caused,pop_caused,distal,14071
exp1,426159,KMZFNd,SK2LKd,2026-04-16,True,False,1860,f,4,test,scenario_1,balloon,balloon_pop_lexical,pop_lexical,proximal,7058
exp1,426159,KMZFNd,SK2LKd,2026-04-16,True,False,1860,f,4,test,scenario_1,balloon,balloon_sad_caused,sad_caused,proximal,9663
exp1,426159,KMZFNd,SK2LKd,2026-04-16,True,False,1860,f,4,test,scenario_1,balloon,balloon_sad_lexical,sad_lexical,proximal,17604
exp1,426159,KMZFNd,SK2LKd,2026-04-16,True,False,1860,f,4,test,scenario_2,drum,drum_break_caused,break_caused,distal,12801
exp1,426159,KMZFNd,SK2LKd,2026-04-16,True,False,1860,f,4,test,scenario_2,drum,drum_break_lexical,break_lexical,proximal,6918
exp1,426159,KMZFNd,SK2LKd,2026-04-16,True,False,1860,f,4,test,scenario_2,drum,drum_angry_caused,angry_caused,proximal,7617
exp1,426159,KMZFNd,SK2LKd,2026-04-16,True,False,1860,f,4,test,scenario_2,drum,drum_angry_lexical,angry_lexical,proximal,6141
exp1,426187,T7TMWH,J5EQHc,2026-04-16,False,False,1980,f,1,warmup,warmup,warmup,warmup_part1_bird_question,warmup,bird,54202
exp1,426187,T7TMWH,J5EQHc,2026-04-16,False,False,1980,f,1,warmup,warmup,warmup,warmup_part1_fish_question,warmup,fish,22669
exp1,426187,T7TMWH,J5EQHc,2026-04-16,False,False,1980,f,1,test,scenario_1,drum,drum_angry_caused,angry_caused,distal,20887
exp1,426187,T7TMWH,J5EQHc,2026-04-16,False,False,1980,f,1,test,scenario_1,drum,drum_angry_lexical,angry_lexical,distal,6162
exp1,426187,T7TMWH,J5EQHc,2026-04-16,False,False,1980,f,1,test,scenario_1,drum,drum_break_caused,break_caused,distal,6928
exp1,426187,T7TMWH,J5EQHc,2026-04-16,False,False,1980,f,1,test,scenario_1,drum,drum_break_lexical,break_lexical,distal,5286
exp1,426187,T7TMWH,J5EQHc,2026-04-16,False,False,1980,f,1,test,scenario_2,balloon,balloon_sad_caused,sad_caused,distal,8914
exp1,426187,T7TMWH,J5EQHc,2026-04-16,False,False,1980,f,1,test,scenario_2,balloon,balloon_sad_lexical,sad_lexical,proximal,6462
