Study,Test date,Lookit Parent ID,Response UUID
exp1,2026-04-15,RdSNSP,e3e8be3e-56ab-4076-ae90-d5871fa47624
exp1,2026-04-16,F2563K,f27ab134-65f3-42c3-85b2-b86d41d487f0
exp1,2026-04-16,GTSVFP,96cf139f-4971-4b2f-b3a0-c3f033248cb9
exp1,2026-04-16,KMZFNd,0a8e96ca-091f-4052-8583-e4e5e205ec45
exp1,2026-04-16,NUSRdd,34875c80-e45d-4e7f-914a-c24b70d969eb
exp1,2026-04-16,T7TMWH,04a50524-8bde-461a-bd63-7f4dd5355371
exp1,2026-04-20,Rd2H2W,1707c269-a324-492e-a64b-21db81f83b36
exp1,2026-04-20,ZRJ3E4,e9f50cdc-b4a6-408e-92f2-13988dece690
exp1,2026-04-20,Rd2H2W,17e4113b-c315-406e-8dcf-d5e35cbd4782
exp1,2026-04-20,WW2HYE,5da7315e-5a40-47f7-8bba-90ac43333a66
exp1,2026-04-20,LRARE6,2aaa18a2-e9a6-4ab8-aa5e-684ca3b772c0
exp1,2026-04-20,QUYJNR,b6ee65b6-1299-4b4d-bccf-83cced2d2d0a
exp1,2026-04-20,HSFZMK,e632437e-bc60-4c9f-b2a8-3e5c1e2221bd
exp1,2026-04-20,PBKc6V,838ccd28-2785-4d7e-933d-ecc5faaf0a32
exp1,2026-04-20,6WDW44,b9e663a6-0cfc-481e-ad6d-d30f10bc0795
exp1,2026-04-21,2TJV2W,e63f6235-2176-4bd6-953f-d798cd017b4c
exp1,2026-04-21,5PRH2X,a8275f01-cb61-4a12-8c98-9369c7e6e724
exp1,2026-04-21,X4J57N,cd51a26a-f3c9-47e1-baa9-bc3bad5e808b
exp1,2026-04-21,TNNdcK,a2db8769-9668-4db1-affd-0e3ebb9afbaa
exp1,2026-04-21,L7DYHD,2515f188-3ab5-42a1-a2e2-261db9231465
exp1,2026-04-21,C757Y4,da1f0fdf-c663-4d82-bb47-efe1eeab50c0
exp1,2026-04-21,53YRDH,201bbd9e-e74b-4b22-a130-b5507570f5b2
exp1,2026-04-21,5NC34P,d2d349e9-eeca-4acf-b985-7b190ba23aee
exp1,2026-04-21,FTdYKW,d6d80d9a-776d-4caa-9836-add76e8da1e3
exp2,2026-04-15,3TNCHB,2fbca5e2-02be-496e-a443-1ad2f6e63e0c
exp2,2026-04-15,NHHKGW,934fdf31-670a-40a2-a399-5e1c28ff613a
exp2,2026-04-15,7MDHK5,bd5f0a40-3492-45f0-ba9c-ae747408d34a
exp2,2026-04-15,6S2MY5,a76601c4-481b-4a2d-a489-c6ee943ed4f2
exp2,2026-04-15,ZJW3dW,b3807c55-ec5b-4ed1-b22a-b92701f3fde1
exp3,2026-04-15,PZUARM,6637cdb0-f5e7-4c0b-994c-835de4b90cd3
exp3,2026-04-15,56LJJD,c3736d00-5e80-4861-845c-04d2195e2488
exp3,2026-04-16,622CK2,4ff81c48-46a5-4c6f-a57f-75a69ea910ac
exp3,2026-04-16,dSX4WA,d310f057-89a6-436a-98b1-8be413f216aa
exp3,2026-04-16,CMKM45,d1d26291-6005-490c-8bfe-0d294a9dc0c9
exp3,2026-04-16,EBM36Z,6fbe3d55-fa82-4006-91da-ec9580bdc8da
punishment,2026-04-15,5F244U,da12bab2-e860-410a-bbe8-6890ce1df293
punishment,2026-04-15,NGR36L,61b70205-a735-4394-b710-e25a08a3b7ee
punishment,2026-04-16,EAKTT5,6d244565-2a30-406e-9358-7d895f6dad96
punishment,2026-04-16,UM6SPZ,12c16b98-f162-45b8-b7cb-a73bb7bdde2b
punishment,2026-04-16,P3YDGK,0c6f26df-0bf0-483b-a776-08de23e72f1f
punishment,2026-04-16,U3Wd7M,f5e98b66-a891-47be-b349-a1dd865e1bdc
punishment,2026-04-16,DWUWMF,393bc27b-87a6-449d-bacc-c4c67cfd5477
